component1,component2,component3,label
2.895196,1.3286095,-0.030450799,SciVis
2.477354,0.09756773,-0.07753004,SciVis
5.626454,-1.8667724,0.5481443,SciVis
-1.38394,-1.749224,0.031596895,VAST
-0.1461206,2.3623207,0.2543554,InfoVis
-0.94049805,1.3150973,-0.05761181,InfoVis
-0.9873575,-0.65192103,-0.036670633,SciVis
1.2838206,0.22749607,0.014848134,SciVis
-1.2300228,-1.9106389,0.104737565,VAST
-1.6557983,-1.2736992,-0.018656043,InfoVis
-1.2015885,0.28139237,-0.3758269,InfoVis
2.0316806,-1.414578,0.08885999,SciVis
7.5371227,0.11086093,0.07094533,SciVis
-0.33898202,2.120933,0.022632496,InfoVis
-0.18245,1.2699913,0.03643756,InfoVis
5.9370165,-1.0872053,-0.09011663,SciVis
10.533745,1.5807348,-0.273026,SciVis
-0.3861856,3.4253597,0.41965443,InfoVis
2.391027,0.2226723,0.107898906,SciVis
-0.77834004,2.4581733,-0.13495837,InfoVis
-0.66711104,1.6873417,0.2720123,InfoVis
-0.7765938,1.8644389,-0.16345438,InfoVis
6.768545,-3.1934521,-0.10041252,SciVis
6.837394,-0.840898,-0.17705956,SciVis
3.5764205,-0.49881586,-0.71837234,SciVis
6.3539443,0.7238347,-0.0004051248,SciVis
-0.49997443,0.27908742,-0.09392319,InfoVis
-1.008641,2.5851388,-0.0018305121,InfoVis
1.1384845,-2.25973,-0.13083415,SciVis
2.2600105,-2.667612,0.734739,SciVis
-0.83292127,1.6991061,-0.21651225,InfoVis
0.053641528,2.8931108,0.31728312,InfoVis
-1.633398,-0.549237,-0.26229933,InfoVis
-1.6163342,-0.05438031,-0.27147058,InfoVis
-0.68020725,-0.15411568,-0.13998516,VAST
-1.3840717,0.23985364,-0.32035863,InfoVis
-0.9751871,-0.83847624,0.32741556,InfoVis
-1.166521,-1.7990531,-0.009613481,VAST
6.34764,-2.6147346,-0.2784597,SciVis
-1.2847724,-1.7599471,0.25370508,VAST
1.528036,-0.80879396,0.007558853,SciVis
